# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu May  5 07:37:53 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.00000 0.0900000036 1.0816895962    0.090 -1.321  3.4419  3.433    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.073 14.086 13.075 11.729 10.124 8.225 6.057 5.478 5.105
0.0152 0.01508 6.00000 0.1000000015 1.1711064577    0.100 -1.221  3.4494  3.408    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.822 13.638 12.648 11.318 9.762 7.903 5.815 5.231 4.873
0.0152 0.01508 6.00000 0.1098617315 1.2485735416    0.110 -1.138  3.4554  3.390    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.615 13.288 12.308 10.993 9.473 7.645 5.616 5.023 4.679
0.0152 0.01508 6.00000 0.1200000122 1.3193155527    0.120 -1.057  3.4612  3.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.413 12.959 11.988 10.687 9.201 7.399 5.423 4.819 4.489
0.0152 0.01508 6.00000 0.1354001760 1.4130986929    0.135 -0.953  3.4689  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.152 12.554 11.586 10.307 8.860 7.087 5.173 4.551 4.239
0.0152 0.01508 6.00000 0.1400000006 1.4384527206    0.140 -0.924  3.4710  3.344    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.6e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 12.447 11.479 10.206 8.769 7.004 5.106 4.477 4.171
0.0152 0.01508 6.00000 0.1473688781 1.4768916368    0.147 -0.885  3.4742  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.982 12.299 11.327 10.061 8.638 6.886 5.013 4.375 4.077
0.0152 0.01508 6.00000 0.1649024487 1.5590895414    0.165 -0.809  3.4809  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.793 12.013 11.029 9.774 8.383 6.658 4.838 4.181 3.897
0.0152 0.01508 6.00000 0.1705176085 1.5830422640    0.170 -0.798  3.4826  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.765 11.965 10.972 9.715 8.332 6.618 4.814 4.153 3.871
0.0152 0.01508 6.00000 0.1760640442 1.6057158709    0.176 -0.776  3.4849  3.351    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.710 11.884 10.884 9.627 8.253 6.551 4.765 4.097 3.819
0.0152 0.01508 6.00000 0.1806975752 1.6239571571    0.181 -0.751  3.4871  3.346    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.648 11.797 10.791 9.536 8.171 6.479 4.708 4.032 3.759
0.0152 0.01508 6.00000 0.1863481998 1.6453964710    0.186 -0.717  3.4900  3.337    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.561 11.679 10.667 9.415 8.061 6.380 4.628 3.942 3.675
0.0152 0.01508 6.00000 0.1950441152 1.6767902374    0.195 -0.661  3.4944  3.318    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.422 11.499 10.475 9.237 7.899 6.227 4.499 3.795 3.536
0.0152 0.01508 6.00000 0.2051213086 1.7109695673    0.205 -0.635  3.4973  3.327    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.359 11.405 10.369 9.133 7.809 6.148 4.442 3.730 3.476
0.0152 0.01508 6.00000 0.2146187425 1.7412415743    0.215 -0.635  3.4990  3.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.358 11.381 10.333 9.094 7.781 6.132 4.447 3.733 3.480
0.0152 0.01508 6.00000 0.2241051644 1.7697881460    0.224 -0.625  3.5015  3.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.332 11.327 10.264 9.024 7.724 6.089 4.427 3.708 3.459
0.0152 0.01508 6.00000 0.2335195541 1.7966058254    0.234 -0.601  3.5047  3.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.272 11.235 10.157 8.919 7.635 6.013 4.376 3.648 3.403
0.0152 0.01508 6.00000 0.2428210229 1.8217558861    0.243 -0.563  3.5086  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.177 11.105 10.011 8.779 7.512 5.902 4.291 3.549 3.310
0.0152 0.01508 6.00000 0.2590910494 1.8628706932    0.259 -0.513  3.5141  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.053 10.935 9.811 8.581 7.340 5.754 4.181 3.422 3.191
0.0152 0.01508 6.00000 0.2748019695 1.8995058537    0.275 -0.501  3.5173  3.400    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.023 10.870 9.723 8.487 7.265 5.702 4.161 3.397 3.169
0.0152 0.01508 6.00000 0.2906001210 1.9336966276    0.290 -0.491  3.5208  3.427    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.996 10.804 9.634 8.391 7.189 5.651 4.144 3.375 3.151
0.0152 0.01508 6.00000 0.3151578009 1.9823096991    0.315 -0.455  3.5271  3.452    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.908 10.657 9.442 8.187 7.021 5.529 4.076 3.294 3.077
0.0152 0.01508 6.00000 0.3399681151 2.0266623497    0.340 -0.425  3.5330  3.478    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.832 10.524 9.268 8.004 6.871 5.421 4.018 3.225 3.014
0.0152 0.01508 6.00000 0.3527808189 2.0479519367    0.353 -0.412  3.5359  3.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.800 10.464 9.189 7.920 6.802 5.375 3.995 3.197 2.989
0.0152 0.01508 6.00000 0.3855731785 2.0981462002    0.386 -0.363  3.5444  3.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.677 10.268 8.938 7.661 6.584 5.217 3.896 3.084 2.887
0.0152 0.01508 6.00000 0.4027824402 2.1223189831    0.403 -0.341  3.5485  3.530    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.622 10.177 8.820 7.538 6.480 5.145 3.854 3.036 2.843
0.0152 0.01508 6.00000 0.4476481974 2.1794912815    0.447 -0.275  3.5599  3.555    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.457 9.910 8.479 7.180 6.171 4.936 3.722 2.894 2.714
0.0152 0.01508 6.00000 0.4651119709 2.1997659206    0.465 -0.249  3.5643  3.564    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.393 9.806 8.346 7.043 6.051 4.857 3.670 2.842 2.667
0.0152 0.01508 6.00000 0.4939227402 2.2311394215    0.494 -0.209  3.5713  3.578    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.293 9.639 8.139 6.828 5.863 4.733 3.589 2.762 2.595
0.0152 0.01508 6.00000 0.5000000000 2.2374541759    0.500 -0.201  3.5727  3.581    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.272 9.602 8.096 6.784 5.823 4.708 3.573 2.747 2.581
0.0152 0.01508 6.00000 0.5032261014 2.2407553196    0.503 -0.197  3.5734  3.582    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.262 9.584 8.074 6.761 5.803 4.695 3.565 2.740 2.574
0.0152 0.01508 6.00000 0.5193864703 2.2565844059    0.519 -0.174  3.5770  3.588    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.205 9.483 7.957 6.641 5.696 4.626 3.519 2.697 2.535
0.0152 0.01508 6.00000 0.5363373756 2.2720143795    0.536 -0.151  3.5810  3.594    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.147 9.379 7.836 6.518 5.586 4.556 3.472 2.654 2.496
0.0152 0.01508 6.00000 0.5500000119 2.2836582661    0.550 -0.133  3.5843  3.600    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.103 9.296 7.744 6.428 5.505 4.503 3.436 2.622 2.467
0.0152 0.01508 6.00000 0.5511864424 2.2846381664    0.551 -0.132  3.5845  3.601    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.099 9.290 7.737 6.421 5.498 4.499 3.433 2.619 2.465
