Name, RA_J2000,DEC_J2000,U,B,V,R,I,G_BP,G,G_RP
[CS62] E1 41 ,  21.17458 , -44.52833 ,  8.562 ,  7.416 ,  6.270 ,  5.700 ,  5.190 ,  6.526 ,  5.933 ,  5.254 
[CS62] E1 35 ,  20.50917 , -44.42500 , 12.324 , 10.897 ,  9.470 ,  8.700 ,  7.980 ,  9.744 ,  8.931 ,  8.081 
[CS62] E1 20 ,  20.81833 , -44.67167 , 11.322 , 10.586 ,  9.850 ,  9.450 ,  9.070 , 10.055 ,  9.661 ,  9.133 
[CS62] E1 44 ,  21.05125 , -44.45028 , 12.120 , 11.500 , 10.880 , 10.530 , 10.200 , -99.000 , -99.000 , -99.000 
[CS62] E1 49 ,  21.24000 , -44.64083 , 12.768 , 12.204 , 11.640 , 11.310 , 10.990 , 11.809 , 11.499 , 11.047 
[CS62] E1 a  ,  21.33125 , -44.45056 , 13.890 , 13.275 , 12.660 , 12.320 , 11.990 , 12.861 , 12.541 , 12.065 
[CS62] E1 h  ,  21.16667 , -44.56528 , 15.264 , 14.542 , 13.820 , 13.450 , 13.080 , 14.051 , 13.686 , 13.170 
[CS62] E1 i  ,  21.20042 , -44.64194 , 15.582 , 14.666 , 13.750 , 13.240 , 12.800 , 14.019 , 13.523 , 12.887 
[CS62] E1 p  ,  21.01917 , -44.39500 , 16.368 , 15.569 , 14.770 , 14.300 , 13.840 , 14.992 , 14.549 , 13.952 
[CS62] E2 2  ,  60.93708 , -44.73306 ,  7.984 ,  7.807 ,  7.630 ,  7.550 ,  7.470 ,  7.709 ,  7.607 ,  7.474 
[CS62] E2 36 ,  61.19833 , -44.66861 , 11.246 ,  9.638 ,  8.030 ,  7.110 ,  6.120 ,  8.307 ,  7.255 ,  6.277 
[CS62] E2 4  ,  60.56792 , -44.66361 ,  8.444 ,  8.317 ,  8.190 ,  8.130 ,  8.070 ,  8.248 ,  8.165 ,  8.059 
[CS62] E2 18 ,  60.93917 , -44.48056 ,  9.924 ,  9.197 ,  8.470 ,  8.070 ,  7.680 , -99.000 , -99.000 , -99.000 
[CS62] E2 34 ,  60.76750 , -44.59194 , 10.784 ,  9.777 ,  8.770 ,  8.230 ,  7.750 , -99.000 , -99.000 , -99.000 
[CS62] E2 74 ,  62.08083 , -41.86139 , 12.140 , 10.735 ,  9.330 ,  8.590 ,  7.940 ,  9.611 ,  8.845 ,  8.033 
[CS62] E2 20 ,  60.93708 , -44.45861 , 10.674 , 10.087 ,  9.500 ,  9.180 ,  8.870 , -99.000 , -99.000 , -99.000 
[CS62] E2 b  ,  60.93250 , -44.78333 , 12.628 , 12.099 , 11.570 , 11.270 , 10.980 ,    nan , 12.829 ,    nan 
[CS62] E2 l  ,  60.84000 , -44.75528 , 14.234 , 13.607 , 12.980 , 12.630 , 12.280 , 13.174 , 12.879 , 12.348 
[CS62] E2 m  ,  60.67000 , -44.75250 , 14.702 , 13.896 , 13.090 , 12.660 , 12.280 , 13.329 , 12.911 , 12.357 
[CS62] E2 o  ,  60.63250 , -44.78583 , 15.230 , 14.660 , 14.090 , 13.780 , 13.460 , 14.265 , 13.968 , 13.518 
[CS62] E2 s  ,  60.65208 , -44.79972 , 16.044 , 15.317 , 14.590 , 14.220 , 13.880 , 14.826 , 14.462 , 13.955 
[CS62] E2 t  ,  60.70583 , -44.75806 , 16.438 , 15.804 , 15.170 , 14.830 , 14.480 , 15.363 , 15.042 , 14.560 
[CS62] E2 I  ,  60.68458 , -44.79417 , 17.524 , 16.637 , 15.750 , 15.240 , 14.800 , 15.991 , 15.521 , 14.907 
HD 49798     , 102.02000 , -44.31639 ,  7.692 ,  7.981 ,  8.270 ,  8.380 ,  8.520 ,  8.084 ,  8.215 ,  8.498 
[CS62] E3 19 , 100.32750 , -45.27528 ,  9.492 ,  9.241 ,  8.990 ,  8.850 ,  8.720 ,  9.077 ,  8.941 ,  8.733 
[CS62] E3 26 , 100.63042 , -45.35583 , 10.468 ,  9.999 ,  9.530 ,  9.270 ,  9.020 ,  9.680 ,  9.424 ,  9.057 
[CS62] E3 34 , 100.04500 , -45.10111 , 11.620 , 10.665 ,  9.710 ,  9.220 ,  8.760 ,  9.967 ,  9.466 ,  8.846 
[CS62] E3 33 , 100.60542 , -45.15333 , 12.366 , 11.208 , 10.050 ,  9.470 ,  8.950 , 10.335 ,  9.738 ,  9.043 
[CS62] E3 55 , 100.80875 , -45.24194 , 10.766 , 10.708 , 10.650 , 10.640 , 10.620 , 10.669 , 10.641 , 10.601 
[CS62] E3 59 , 100.83667 , -45.21583 , 12.158 , 11.749 , 11.340 , 11.070 , 10.800 , 11.458 , 11.221 , 10.850 
[CS62] E3 58 , 100.34083 , -45.34944 , 11.828 , 11.699 , 11.570 , 11.520 , 11.460 , 11.608 , 11.560 , 11.450 
[CS62] E3 e  , 100.65167 , -45.15194 , 14.030 , 13.445 , 12.860 , 12.510 , 12.170 , 13.017 , 12.711 , 12.237 
[CS62] E3 k  , 100.72792 , -45.14306 , 15.238 , 14.654 , 14.070 , 13.750 , 13.420 , 14.259 , 13.952 , 13.480 
[CS62] E3 o  , 100.69417 , -45.17944 , 15.904 , 15.352 , 14.800 , 14.490 , 14.150 , 14.992 , 14.696 , 14.234 
